GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GraphHopper Core,com.graphhopper.routing.ev,RoadClassLink,3,5,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,CarTemporalAccess,4,50,0,0,1,4,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,HazmatTunnel,0,39,0,0,0,7,0,2,0,2
GraphHopper Core,com.graphhopper.routing.ev,GetOffBike,3,6,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,BikeTemporalAccess,50,0,0,0,5,0,3,0,3,0
GraphHopper Core,com.graphhopper.routing.ev,VehicleAccess,3,11,0,0,1,2,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,FootRoadAccess,8,71,4,4,3,8,5,3,1,3
GraphHopper Core,com.graphhopper.routing.ev,VehicleSpeed,3,13,0,0,1,2,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,MaxWidth,3,11,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,MtbRating,3,7,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,HazmatWater,4,27,0,0,1,3,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,MaxWeightExcept,11,50,4,4,5,6,5,3,1,3
GraphHopper Core,com.graphhopper.routing.ev,ImportUnit,0,40,0,0,0,11,0,6,0,6
GraphHopper Core,com.graphhopper.routing.ev,MaxAxleLoad,3,11,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,MaxLength,14,0,0,0,2,0,2,0,2,0
GraphHopper Core,com.graphhopper.routing.ev,MaxSpeedEstimated,3,5,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,UrbanDensity,4,27,0,0,1,3,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,Country,9,2994,0,4,3,237,3,9,3,7
GraphHopper Core,com.graphhopper.routing.ev,Orientation,3,11,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,Hgv,7,65,0,2,3,6,1,4,1,3
GraphHopper Core,com.graphhopper.routing.ev,Roundabout,3,6,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,RouteNetwork,16,48,2,0,6,4,3,3,2,3
GraphHopper Core,com.graphhopper.routing.ev,Surface,0,195,0,10,0,25,0,9,0,4
GraphHopper Core,com.graphhopper.routing.ev,MaxSlope,3,11,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,Hazmat,4,21,0,0,1,3,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,VehiclePriority,3,13,0,0,1,2,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,IntsRefEdgeIntAccess,0,19,0,0,0,6,0,3,0,3
GraphHopper Core,com.graphhopper.routing.ev,BikeNetwork,3,4,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,BusAccess,3,6,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,FootTemporalAccess,4,42,0,0,1,4,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,Toll,4,33,0,0,1,3,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,EncodedValue.InitializerConfig,0,89,0,2,0,16,0,6,0,5
GraphHopper Core,com.graphhopper.routing.ev,ArrayEdgeIntAccess,0,65,0,4,0,12,0,6,0,4
GraphHopper Core,com.graphhopper.routing.ev,ExternalBooleanEncodedValue,2,64,1,5,0,13,1,9,0,7
GraphHopper Core,com.graphhopper.routing.ev,MaxSpeed,3,11,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,EncodedValueSerializer,22,37,0,0,5,9,1,3,1,3
GraphHopper Core,com.graphhopper.routing.ev,FootNetwork,3,4,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,RoadAccess,6,92,1,7,2,11,2,7,1,4
GraphHopper Core,com.graphhopper.routing.ev,TurnCost,3,19,0,0,1,3,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,TurnRestriction,3,11,0,0,1,2,1,2,1,2
GraphHopper Core,com.graphhopper.routing.ev,MaxWeight,3,11,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing.ev,StringEncodedValue,17,208,1,13,3,43,2,14,1,8
GraphHopper Core,com.graphhopper.routing.ev,State,0,597,0,2,0,90,0,7,0,6
GraphHopper Core,com.graphhopper.routing.ev,Smoothness,4,81,0,2,1,8,1,4,1,3
GraphHopper Core,com.graphhopper.routing.ev,HorseRating,10,0,0,0,2,0,2,0,2,0
GraphHopper Core,com.graphhopper.routing.ev,Footway,69,0,4,0,9,0,6,0,4,0
GraphHopper Core,com.graphhopper.routing.ev,RoadClass,0,159,1,3,0,11,1,5,0,4
GraphHopper Core,com.graphhopper.reader.osm,Triple,0,12,0,0,0,5,0,1,0,1
GraphHopper Core,com.graphhopper.reader.osm,WayToEdgeConverter.NodeResult,0,21,0,0,0,6,0,3,0,3
GraphHopper Core,com.graphhopper.reader.osm,WayToEdgesMap.new Iterator() {...},0,53,0,2,0,5,0,4,0,3
GraphHopper Core,com.graphhopper.reader.osm,OSMReaderUtility,3,109,0,8,1,24,1,6,1,2
GraphHopper Core,com.graphhopper.reader.osm,RestrictionType,0,15,0,0,0,2,0,1,0,1
GraphHopper Core,com.graphhopper.reader.osm,Pair,0,9,0,0,0,4,0,1,0,1
GraphHopper Core,com.graphhopper.reader.osm,RestrictionMembers,0,91,0,4,0,19,0,11,0,9
GraphHopper Core,com.graphhopper.reader.osm,WaySegmentParser.Pass2Handler,64,696,10,74,10,130,10,45,0,13
GraphHopper Core,com.graphhopper.reader.osm,OSMReader,272,1506,58,168,39,308,56,88,1,30
GraphHopper Core,com.graphhopper.reader.osm,SkipOptions,0,28,0,0,0,9,0,5,0,5
GraphHopper Core,com.graphhopper.reader.osm,WaySegmentParser.Pass1Handler,27,160,3,21,4,32,3,15,0,6
GraphHopper Core,com.graphhopper.reader.osm,OSMNodeData,78,594,15,47,13,113,15,44,0,28
GraphHopper Core,com.graphhopper.reader.osm,WaySegmentParser.Builder,0,64,0,0,0,20,0,10,0,10
GraphHopper Core,com.graphhopper.reader.osm,OSMFileHeader,29,5,4,0,8,2,5,1,3,1
GraphHopper Core,com.graphhopper.reader.osm,RestrictionTopology,30,142,7,17,6,23,7,16,0,11
GraphHopper Core,com.graphhopper.reader.osm,PillarInfo,0,139,0,6,0,28,0,12,0,9
GraphHopper Core,com.graphhopper.reader.osm,WayToEdgeConverter.EdgeResult,0,41,0,0,0,10,0,5,0,5
GraphHopper Core,com.graphhopper.reader.osm,OSMInputFile,125,411,22,58,29,105,20,36,1,14
GraphHopper Core,com.graphhopper.reader.osm,WaySegmentParser.ReaderElementHandler,11,29,1,4,4,12,4,6,3,3
GraphHopper Core,com.graphhopper.reader.osm,OSMRestrictionException,0,13,0,0,0,4,0,3,0,3
GraphHopper Core,com.graphhopper.reader.osm,OSMXMLHelper,3,183,5,21,1,47,6,15,1,7
GraphHopper Core,com.graphhopper.reader.osm,RestrictionTagParser,15,190,3,25,3,40,3,23,0,11
GraphHopper Core,com.graphhopper.reader.osm,WayToEdgesMap,6,134,1,13,1,30,1,10,0,4
GraphHopper Core,com.graphhopper.reader.osm,OSMRestrictionConverter,107,749,25,113,17,142,24,64,1,18
GraphHopper Core,com.graphhopper.reader.osm,WayToEdgeConverter,80,567,17,55,12,84,17,35,0,16
GraphHopper Core,com.graphhopper.reader.osm,RestrictionTagParser.Result,0,15,0,0,0,6,0,3,0,3
GraphHopper Core,com.graphhopper.reader.osm,SegmentNode,0,12,0,0,0,5,0,1,0,1
GraphHopper Core,com.graphhopper.reader.osm,WaySegmentParser,29,190,2,4,6,42,9,7,7,6
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMHazmatParser,0,19,0,2,0,6,0,3,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,RestrictionSetter.InternalRestriction,45,93,3,5,4,15,3,10,1,8
GraphHopper Core,com.graphhopper.routing.util.parsers,RacingBikeAccessParser,0,42,0,0,0,10,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,RacingBikePriorityParser,0,192,1,13,0,36,1,9,0,3
GraphHopper Core,com.graphhopper.routing.util.parsers,AbstractAverageSpeedParser,7,45,0,2,2,11,2,5,2,4
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMMaxWeightParser,0,86,2,6,0,14,2,6,0,4
GraphHopper Core,com.graphhopper.routing.util.parsers,MountainBikeAverageSpeedParser,0,124,0,0,0,32,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,AbstractAccessParser,20,224,2,20,5,45,5,18,3,9
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMHazmatWaterParser,0,32,0,4,0,8,0,4,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,RestrictionSetter.Restriction,7,9,0,0,1,4,1,1,1,1
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMGetOffBikeParser,7,165,4,28,0,24,4,14,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,MaxWeightExceptParser,0,149,6,18,0,28,6,10,0,4
GraphHopper Core,com.graphhopper.routing.util.parsers,BikeNetworkParserHelper,3,31,0,8,1,10,1,5,1,1
GraphHopper Core,com.graphhopper.routing.util.parsers,BikeCommonPriorityParser,0,791,1,106,0,134,1,66,0,11
GraphHopper Core,com.graphhopper.routing.util.parsers,MountainBikeAccessParser,0,27,0,0,0,7,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMFootwayParser,19,0,0,0,6,0,2,0,2,0
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMRoadClassParser,0,43,0,8,0,12,0,6,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMTemporalAccessParser,13,197,7,31,3,43,7,18,0,6
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMHazmatTunnelParser,0,100,1,11,0,21,1,8,0,3
GraphHopper Core,com.graphhopper.routing.util.parsers,OrientationCalculator,0,71,1,1,0,12,1,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMCrossingParser,6,146,7,23,1,28,6,11,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMRoadEnvironmentParser,0,97,1,21,0,20,1,12,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,BikeCommonAccessParser,0,616,6,110,0,88,6,57,0,5
GraphHopper Core,com.graphhopper.routing.util.parsers,FootPriorityParser,9,415,2,36,1,71,2,22,0,5
GraphHopper Core,com.graphhopper.routing.util.parsers,CountryParser,0,20,0,0,0,6,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMRoundaboutParser,0,30,0,6,0,7,0,5,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMSurfaceParser,0,25,0,2,0,9,0,3,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMHikeRatingParser,6,59,3,13,1,14,2,8,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMMaxHeightParser,0,26,0,0,0,6,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,RestrictionSetter,70,996,9,99,9,173,11,65,2,20
GraphHopper Core,com.graphhopper.routing.util.parsers,FootAverageSpeedParser,32,132,7,17,3,25,5,10,0,3
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMSmoothnessParser,0,25,0,2,0,9,0,3,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMRoadClassLinkParser,0,25,0,4,0,7,0,4,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,CarAccessParser,2,562,5,81,1,88,5,45,0,7
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMMaxAxleLoadParser,0,15,0,0,0,5,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,CarAverageSpeedParser,0,412,1,21,0,76,1,16,0,6
GraphHopper Core,com.graphhopper.routing.util.parsers,ModeAccessParser,65,338,27,41,9,45,18,25,0,9
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMLanesParser,7,46,3,5,3,15,3,3,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,BikeCommonAverageSpeedParser,16,610,2,48,2,129,2,33,0,10
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMWayIDParser,39,0,2,0,9,0,3,0,2,0
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMTrackTypeParser,0,24,0,2,0,8,0,3,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,MountainBikePriorityParser,0,152,1,9,0,30,1,7,0,3
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMRoadAccessParser,60,254,5,27,4,37,5,19,0,4
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMMaxWidthParser,0,30,0,0,0,6,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMFootNetworkTagParser,2,114,1,15,1,24,1,10,0,3
GraphHopper Core,com.graphhopper.routing.util.parsers,BikePriorityParser,0,42,0,0,0,12,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,BikeAverageSpeedParser,0,23,0,0,0,7,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,DefaultMaxSpeedParser.new LinkedHashMap() {...},2,15,1,1,0,2,1,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMMaxLengthParser,15,0,0,0,5,0,2,0,2,0
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMMtbRatingParser,0,55,0,12,0,15,0,8,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMMaxSpeedParser,5,190,1,29,1,45,1,19,0,5
GraphHopper Core,com.graphhopper.routing.util.parsers,DefaultMaxSpeedParser,8,286,6,40,1,52,6,25,0,8
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMTollParser,70,115,21,19,17,28,13,14,0,4
GraphHopper Core,com.graphhopper.routing.util.parsers,FootAccessParser,14,460,10,52,2,88,8,27,0,4
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMHorseRatingParser,65,0,16,0,15,0,10,0,2,0
GraphHopper Core,com.graphhopper.routing.util.parsers,StateParser,20,0,0,0,6,0,2,0,2,0
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMMtbNetworkTagParser,0,88,0,6,0,18,0,7,0,4
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMHgvParser,0,43,0,4,0,8,0,4,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,BikeAccessParser,0,42,0,0,0,10,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util.parsers,OSMBikeNetworkTagParser,0,88,0,6,0,18,0,7,0,4
GraphHopper Core,com.graphhopper.routing.util.parsers,RacingBikeAverageSpeedParser,0,187,0,0,0,48,0,2,0,2
GraphHopper Core,com.graphhopper.reader.dem,SRTMGL1Provider,122,127,3,9,25,28,5,12,3,8
GraphHopper Core,com.graphhopper.reader.dem,ElevationInterpolator,75,333,6,22,10,57,6,12,0,4
GraphHopper Core,com.graphhopper.reader.dem,SkadiProvider,117,71,1,5,23,15,4,8,3,6
GraphHopper Core,com.graphhopper.reader.dem,EdgeElevationSmoothingMovingAverage,3,306,0,24,1,51,1,14,1,2
GraphHopper Core,com.graphhopper.reader.dem,EdgeElevationInterpolator,0,225,0,16,0,55,0,16,0,8
GraphHopper Core,com.graphhopper.reader.dem,AbstractTiffElevationProvider,143,202,18,12,34,48,14,6,1,4
GraphHopper Core,com.graphhopper.reader.dem,EdgeElevationInterpolator.new BreadthFirstSearch() {...},0,57,0,4,0,11,0,5,0,3
GraphHopper Core,com.graphhopper.reader.dem,TileBasedElevationProvider,39,87,5,5,12,22,7,8,4,6
GraphHopper Core,com.graphhopper.reader.dem,ElevationProvider,0,12,0,0,0,2,0,2,0,2
GraphHopper Core,com.graphhopper.reader.dem,EdgeSampling,2,149,3,13,0,29,3,6,0,1
GraphHopper Core,com.graphhopper.reader.dem,AbstractSRTMElevationProvider,121,341,17,29,31,74,15,18,1,9
GraphHopper Core,com.graphhopper.reader.dem,NodeElevationInterpolator,0,336,1,19,0,62,1,15,0,6
GraphHopper Core,com.graphhopper.reader.dem,CGIARProvider,137,149,10,12,27,28,9,14,2,10
GraphHopper Core,com.graphhopper.reader.dem,EdgeElevationSmoothingRamer,3,181,1,13,1,40,2,8,1,2
GraphHopper Core,com.graphhopper.reader.dem,GMTEDProvider,147,172,6,12,28,35,7,17,2,13
GraphHopper Core,com.graphhopper.reader.dem,MultiSourceElevationProvider,99,39,6,4,21,10,11,5,8,3
GraphHopper Core,com.graphhopper.reader.dem,HeightTile,151,301,16,20,28,49,16,15,4,9
GraphHopper Core,com.graphhopper.reader.dem,SRTMProvider,105,270,2,24,19,55,3,18,1,7
GraphHopper Core,com.graphhopper.reader.dem,ElevationProvider.new ElevationProvider() {...},2,6,0,0,1,3,1,3,1,3
GraphHopper Core,com.graphhopper.reader.dem,HGTProvider,92,0,6,0,17,0,7,0,4,0
GraphHopper Core,com.graphhopper.routing.util,TransportationMode,0,84,0,0,0,7,0,3,0,3
GraphHopper Core,com.graphhopper.routing.util,NameSimilarityEdgeFilter,35,218,6,30,5,49,5,23,1,9
GraphHopper Core,com.graphhopper.routing.util,AreaIndex,0,97,0,4,0,19,0,6,0,4
GraphHopper Core,com.graphhopper.routing.util,MaxSpeedCalculator.RoadTypeImpl,0,17,0,0,0,7,0,5,0,5
GraphHopper Core,com.graphhopper.routing.util,CustomArea,8,64,1,3,1,14,1,6,0,5
GraphHopper Core,com.graphhopper.routing.util,MaxSpeedCalculator,55,322,9,29,13,62,10,24,3,12
GraphHopper Core,com.graphhopper.routing.util,AreaIndex.IndexedCustomArea,0,14,0,0,0,5,0,2,0,2
GraphHopper Core,com.graphhopper.routing.util,WayAccess,10,53,3,5,1,5,3,6,1,4
GraphHopper Core,com.graphhopper.routing.util,EncodingManager.Builder,33,102,5,5,5,24,5,5,0,5
GraphHopper Core,com.graphhopper.routing.util,TraversalMode,0,71,1,13,0,16,1,11,0,5
GraphHopper Core,com.graphhopper.routing.util,HeadingEdgeFilter,0,195,1,21,0,34,1,13,0,3
GraphHopper Core,com.graphhopper.routing.util,OSMParsers,11,179,1,17,3,41,3,20,2,12
GraphHopper Core,com.graphhopper.routing.util,SnapPreventionEdgeFilter,49,93,21,19,7,24,16,6,0,2
GraphHopper Core,com.graphhopper.routing.util,MaxSpeedCalculator.SpeedLimitsJson,0,3,0,0,0,1,0,1,0,1
GraphHopper Core,com.graphhopper.routing.util,FerrySpeedCalculator,0,98,2,14,0,19,2,11,0,5
GraphHopper Core,com.graphhopper.routing.util,AccessFilter,77,53,14,8,12,9,11,9,4,5
GraphHopper Core,com.graphhopper.routing.util,FiniteWeightFilter,8,16,3,1,0,5,2,2,0,2
GraphHopper Core,com.graphhopper.routing.util,MaxSpeedCalculator.RoadTypeFilterImpl,0,24,0,0,0,10,0,7,0,7
GraphHopper Core,com.graphhopper.routing.util,RoadDensityCalculator,220,0,12,0,46,0,14,0,8,0
GraphHopper Core,com.graphhopper.routing.util,NameSimilarityEdgeFilter.new HashMap() {...},0,225,0,2,0,13,0,2,0,1
GraphHopper Core,com.graphhopper.routing.util,EncodingManager,106,330,12,12,20,64,13,34,3,32
GraphHopper Core,com.graphhopper.routing.util,CurvatureCalculator,7,68,3,3,1,12,3,2,0,2
GraphHopper Core,com.graphhopper.routing.util,SlopeCalculator,14,252,9,31,2,42,9,14,0,3
GraphHopper Core,com.graphhopper.routing.util,MaxSpeedCalculator.new EdgeIntAccess() {...},6,50,1,1,1,7,1,3,0,3
GraphHopper Core,com.graphhopper.routing.util,PriorityCode,4,172,2,6,0,30,2,10,0,8
GraphHopper Core,com.graphhopper.routing.util,DefaultSnapFilter,0,32,0,6,0,6,0,5,0,2
GraphHopper Core,com.graphhopper.routing.util,UrbanDensityCalculator,239,0,28,0,39,0,23,0,9,0
GraphHopper Core,com.graphhopper.routing.util,EdgeFilter,0,5,0,0,0,1,0,2,0,2
